t_us,t_s,weight_raw_kg,offset_raw_kg,weight_adj_kg
56350,0.05635,-0.014746025,0,-0.014746025
245549,0.245549,-0.000931337,0,-0.000931337
434740,0.43474,0.04579027,0,0.04579027
623874,0.623874,-0.020954877,0,-0.020954877
813020,0.81302,-0.070625678,0,-0.070625678
1002171,1.002171,-0.015211686,0,-0.015211686
1191378,1.191378,-0.020799652,0,-0.020799652
1380597,1.380597,-0.014125139,0,-0.014125139
1581645,1.581645,-0.015987799,0,-0.015987799
1770867,1.770867,0.060691506,0,0.060691506
1960080,1.96008,-0.013504252,0,-0.013504252
2149291,2.149291,-0.136749938,0,-0.136749938
2338528,2.338528,0.11269062,0,0.11269062
2527759,2.527759,0.980687857,0,0.980687857
2728804,2.728804,1.63401413,0,1.63401413
2918026,2.918026,1.841544867,0,1.841544867
3107248,3.107248,2.086173534,0,2.086173534
3296469,3.296469,2.398012877,0,2.398012877
3485682,3.485682,2.656456232,0,2.656456232
3674915,3.674915,2.932439804,0,2.932439804
3864133,3.864133,2.983041763,0,2.983041763
4053350,4.05335,2.981024027,0,2.981024027
4242561,4.242561,3.094180346,0,3.094180346
4431787,4.431787,3.26042223,0,3.26042223
4621011,4.621011,3.195694923,0,3.195694923
4810231,4.810231,3.091541529,0,3.091541529
4999447,4.999447,2.848154545,0,2.848154545
5188661,5.188661,0.070160002,0,0.070160002
5377867,5.377867,-0.017695233,0,-0.017695233
5567082,5.567082,0.063330263,0,0.063330263
5756308,5.756308,-0.035080001,0,-0.035080001
5945522,5.945522,0.883674562,0,0.883674562
6134722,6.134722,2.370228291,0,2.370228291
6323926,6.323926,2.739344597,0,2.739344597
6524957,6.524957,3.039542437,0,3.039542437
6714164,6.714164,3.170083523,0,3.170083523
6903378,6.903378,3.268183231,0,3.268183231
7092581,7.092581,3.350605726,0,3.350605726
7281794,7.281794,3.494185448,0,3.494185448
7471016,7.471016,3.592906237,0,3.592906237
7660242,7.660242,3.511104584,0,3.511104584
7849457,7.849457,1.523030877,0,1.523030877
8038676,8.038676,0.19418177,0,0.19418177
8227897,8.227897,0.021420524,0,0.021420524
8417115,8.417115,0.04579027,0,0.04579027
8606325,8.606325,0.00543274,0,0.00543274
8795547,8.795547,0.045479819,0,0.045479819
8984767,8.984767,0.054016992,0,0.054016992
9173982,9.173982,0.024059296,0,0.024059296
9363196,9.363196,-0.036942661,0,-0.036942661
9552422,9.552422,-0.000465661,0,-0.000465661
9741642,9.741642,-0.004811868,0,-0.004811868
9930858,9.930858,-0.012572929,0,-0.012572929
10120081,10.120081,0.00745061,0,0.00745061
10309294,10.309294,0.019092202,0,0.019092202
10498494,10.498494,0.010089383,0,0.010089383